1	University of Amsterdam	阿姆斯特丹大学	荷兰
2	Nanyang Technological University	南洋理工大学	新加坡
3	Harvard University	哈佛大学	美国
4	The University of Texas at Austin	得克萨斯大学奥斯汀分校	美国
5	Stanford University	斯坦福大学	美国
6	London School of Economics and Political Science	伦敦政治经济学院	英国
7	University of Pennsylvania	宾夕法尼亚大学	美国
8	University of Southern California	南加州大学	美国
9	Columbia University	哥伦比亚大学	美国
10	National University of Singapore	新加坡国立大学	新加坡
10	New York University	纽约大学	美国
12	University of Cambridge	剑桥大学	英国
13	University of Vienna	维也纳大学	奥地利
14	University of California, Berkeley	加州大学伯克利分校	美国
15	University of Wisconsin-Madison	威斯康星大学麦迪逊分校	美国
16	The Chinese University of Hong Kong	香港中文大学	中国香港
17	Cornell University	康奈尔大学	美国
18	Goldsmiths, University of London	伦敦大学金匠学院	英国
19	King's College London	伦敦国王学院	英国
19	Queensland University of Technology	昆士兰科技大学	澳大利亚
21	University of Toronto	多伦多大学	加拿大
22	The University of Melbourne	墨尔本大学	澳大利亚
23	Michigan State University	密歇根州立大学	美国
24	Ludwig Maximilian University of Munich	慕尼黑大学	德国
25	University of California, Los Angeles	加州大学洛杉矶分校	美国
26	Northwestern University	西北大学	美国
27	University of Zurich	苏黎世大学	瑞士
28	The University of Sydney	悉尼大学	澳大利亚
29	Pennsylvania State University	宾夕法尼亚州立大学	美国
30	Freie Universitat Berlin	柏林自由大学	德国
30	Yale University	耶鲁大学	美国
32	Massachusetts Institute of Technology	麻省理工学院	美国
32	University of Michigan	密歇根大学	美国
34	University of Leeds	利兹大学	英国
35	University College London	伦敦大学学院	英国
36	The University of Edinburgh	爱丁堡大学	英国
37	Cardiff University	卡迪夫大学	英国
38	Seoul National University	首尔大学	韩国
38	University of Illinois Urbana-Champaign	伊利诺伊大学厄巴纳-香槟分校	美国
40	Monash University	蒙纳士大学	澳大利亚
41	The Ohio State University	俄亥俄州立大学	美国
42	The University of British Columbia	不列颠哥伦比亚大学	加拿大
43	University of California, Santa Barbara	加州大学圣芭芭拉分校	美国
44	University of North Carolina at Chapel Hill	北卡罗来纳大学教堂山分校	美国
45	Complutense University of Madrid	马德里康普顿斯大学	西班牙
46	Yonsei University	延世大学	韩国
47	Peking University	北京大学	中国内地
48	Hong Kong Baptist University	香港浸会大学	中国香港
49	City University of Hong Kong	香港城市大学	中国香港
49	Pontificia Universidad Catolica de Chile	智利天主教大学	智利
51-100	Aarhus University	奥胡斯大学	丹麦
51-100	University of Bologna	博洛尼亚大学	意大利
51-100	Arizona State University	亚利桑那州立大学	美国
51-100	The Australian National University	澳大利亚国立大学	澳大利亚
51-100	Boston University	波士顿大学	美国
51-100	City St George's, University of London	伦敦大学城市圣乔治学院	英国
51-100	Duke University	杜克大学	美国
51-100	Erasmus University Rotterdam	伊拉斯谟鹿特丹大学	荷兰
51-100	Fudan University	复旦大学	中国内地
51-100	Indiana University Bloomington	印第安纳大学伯明顿分校	美国
51-100	KU Leuven	荷语鲁汶天主教大学	比利时
51-100	Korea University	高丽大学	韩国
51-100	Leiden University	莱顿大学	荷兰
51-100	Loughborough University	拉夫堡大学	英国
51-100	McGill University	麦吉尔大学	加拿大
51-100	RMIT University	皇家墨尔本理工大学	澳大利亚
51-100	Rutgers University-New Brunswick	罗格斯大学	美国
51-100	University of Georgia	佐治亚大学	美国
51-100	The University of Hong Kong	香港大学	中国香港
51-100	The University of Manchester	曼彻斯特大学	英国
51-100	The University of New South Wales	新南威尔士大学	澳大利亚
51-100	The University of Queensland	昆士兰大学	澳大利亚
51-100	The University of Sheffield	谢菲尔德大学	英国
51-100	The University of Tokyo	东京大学	日本
51-100	University of Warwick	华威大学	英国
51-100	Tsinghua University	清华大学	中国内地
51-100	National Autonomous University of Mexico	墨西哥国立自治大学	墨西哥
51-100	University of Buenos Aires	布宜诺斯艾利斯大学	阿根廷
51-100	Pompeu Fabra University	庞佩乌·法布拉大学	西班牙
51-100	University College Dublin	都柏林大学	爱尔兰
51-100	University of Birmingham	伯明翰大学	英国
51-100	UC San Diego	加州大学圣迭戈分校	美国
51-100	The University of Chicago	芝加哥大学	美国
51-100	University of Copenhagen	哥本哈根大学	丹麦
51-100	University of Florida	佛罗里达大学	美国
51-100	University of Glasgow	格拉斯哥大学	英国
51-100	University of Groningen	格罗宁根大学	荷兰
51-100	University of Helsinki	赫尔辛基大学	芬兰
51-100	University of Massachusetts Amherst	马萨诸塞大学阿默斯特分校	美国
51-100	University of Minnesota	明尼苏达大学	美国
51-100	University of Missouri	密苏里大学	美国
51-100	University of Munster	明斯特大学	德国
51-100	University of Navarra	纳瓦拉大学	西班牙
51-100	University of Oslo	奥斯陆大学	挪威
51-100	University of Sussex	萨塞克斯大学	英国
51-100	University of Washington	华盛顿大学	美国
51-100	Universitat Hamburg	汉堡大学	德国
51-100	Utrecht University	乌得勒支大学	荷兰
51-100	Vrije Universiteit Amsterdam	阿姆斯特丹自由大学	荷兰
51-100	Zhejiang University	浙江大学	中国内地
101-150	Carnegie Mellon University	卡内基梅隆大学	美国
101-150	Concordia University	协和大学	加拿大
101-150	Ghent University	根特大学	比利时
101-150	Humboldt University of Berlin	柏林洪堡大学	德国
101-150	Johannes Gutenberg University Mainz	美因茨大学	德国
101-150	Johns Hopkins University	约翰霍普金斯大学	美国
101-150	Lancaster University	兰卡斯特大学	英国
101-150	Lund University	隆德大学	瑞典
101-150	Macquarie University	麦考瑞大学	澳大利亚
101-150	Massey University	梅西大学	新西兰
101-150	National Taiwan University	国立台湾大学	中国台湾
101-150	Newcastle University	纽卡斯尔大学	英国
101-150	Pontificia Universidad Javeriana	哥伦比亚哈维里亚纳天主教大学	哥伦比亚
101-150	Purdue University	普渡大学	美国
101-150	SOAS University of London	伦敦大学亚非学院	英国
101-150	Sapienza University of Rome	罗马大学	意大利
101-150	Shanghai Jiao Tong University	上海交通大学	中国内地
101-150	Simon Fraser University	西蒙弗雷泽大学	加拿大
101-150	Stockholm University	斯德哥尔摩大学	瑞典
101-150	Sungkyunkwan University	成均馆大学	韩国
101-150	Syracuse University	雪城大学	美国
101-150	Tecnologico de Monterrey	蒙特雷科技大学	墨西哥
101-150	University of Arizona	亚利桑那大学	美国
101-150	University of Auckland	奥克兰大学	新西兰
101-150	Trinity College Dublin	都柏林圣三一大学	爱尔兰
101-150	University of Chile	智利大学	智利
101-150	Universidad de La Sabana	拉萨瓦纳大学	哥伦比亚
101-150	Universidade de Sao Paulo	圣保罗大学	巴西
101-150	Universitat Autonoma de Barcelona	巴塞罗那自治大学	西班牙
101-150	University of Malaya	马来亚大学	马来西亚
101-150	University of Antwerp	安特卫普大学	比利时
101-150	University of Bergen	卑尔根大学	挪威
101-150	University of Bristol	布里斯托大学	英国
101-150	University of California, Davis	加州大学戴维斯分校	美国
101-150	University of California, Irvine	加州大学欧文分校	美国
101-150	University of Colorado Boulder	科罗拉多大学博尔德分校	美国
101-150	University of Gothenburg	哥德堡大学	瑞典
101-150	University of Illinois Chicago	伊利诺伊大学芝加哥分校	美国
101-150	University of Leicester	莱斯特大学	英国
101-150	University of Liverpool	利物浦大学	英国
101-150	University of Maryland, College Park	马里兰大学帕克分校	美国
101-150	University of Oregon	俄勒冈大学	美国
101-150	Universidad de Salamanca	萨拉曼卡大学	西班牙
101-150	University of Technology Sydney	悉尼科技大学	澳大利亚
101-150	University of Westminster	威斯敏斯特大学	英国
101-150	Universita Cattolica del Sacro Cuore	圣心天主教大学	意大利
101-150	University of Bremen	不来梅大学	德国
101-150	Uppsala University	乌普萨拉大学	瑞典
101-150	Vrije Universiteit Brussel	布鲁塞尔自由大学（荷兰语区）	比利时
101-150	Waseda University	早稻田大学	日本
101-150	York University	约克大学	加拿大
151-200	University of Adelaide	阿德莱德大学	澳大利亚
151-200	Birkbeck, University of London	伦敦大学伯贝克学院	英国
151-200	Bournemouth University	伯恩茅斯大学	英国
151-200	Brown University	布朗大学	美国
151-200	City University of New York	纽约市立大学	美国
151-200	Communication University of China	中国传媒大学	中国内地
151-200	Curtin University	科廷大学	澳大利亚
151-200	Deakin University	迪肯大学	澳大利亚
151-200	Dublin City University	都柏林城市大学	爱尔兰
151-200	University of Tubingen	蒂宾根大学	德国
151-200	Ewha Womans University	梨花女子大学	韩国
151-200	George Washington University	乔治华盛顿大学	美国
151-200	Georgetown University	乔治城大学	美国
151-200	Hanyang University	汉阳大学	韩国
151-200	Kyoto University	京都大学	日本
151-200	Lingnan University	岭南大学	中国香港
151-200	Nanjing University	南京大学	中国内地
151-200	North Carolina State University	北卡罗来纳州立大学	美国
151-200	OsloMet - Oslo Metropolitan University	奥斯陆城市大学	挪威
151-200	Queen Mary University of London	伦敦玛丽女王大学	英国
151-200	Renmin University of China	中国人民大学	中国内地
151-200	Sogang University	西江大学	韩国
151-200	Sorbonne University	索邦大学	法国
151-200	Tampere University	坦佩雷大学	芬兰
151-200	Temple University	天普大学	美国
151-200	Hebrew University of Jerusalem	耶路撒冷希伯来大学	以色列
151-200	The Hong Kong Polytechnic University	香港理工大学	中国香港
151-200	University of Alabama	阿拉巴马大学	美国
151-200	Universidad Carlos III de Madrid	马德里卡洛斯三世大学	西班牙
151-200	Universidad Diego Portales	迭戈波塔莱斯大学	智利
151-200	Universidad de Sevilla	塞维利亚大学	西班牙
151-200	Universidade Estadual de Campinas	坎皮纳斯州立大学	巴西
151-200	Universitat de Barcelona	巴塞罗那大学	西班牙
151-200	Universite Libre de Bruxelles	法语布鲁塞尔自由大学	比利时
151-200	National University of Malaysia	马来西亚国民大学	马来西亚
151-200	Universiti Putra Malaysia	博特拉大学	马来西亚
151-200	University of Bern	伯尔尼大学	瑞士
151-200	University of Cape Town	开普敦大学	南非
151-200	University of Exeter	埃克塞特大学	英国
151-200	University of Iowa	爱荷华大学	美国
151-200	University of Miami	迈阿密大学	美国
151-200	University of Milan	米兰大学	意大利
151-200	University of Nottingham	诺丁汉大学	英国
151-200	University of Oklahoma	俄克拉荷马大学	美国
151-200	University of South Carolina	南卡罗来纳大学	美国
151-200	University of Virginia	弗吉尼亚大学	美国
151-200	University of York	约克大学	英国
151-200	Leipzig University	莱比锡大学	德国
151-200	Paris 1 Pantheon-Sorbonne University	巴黎第一大学	法国
151-200	Universite de Montreal	蒙特利尔大学	加拿大
201-250	Aalto University	阿尔托大学	芬兰
201-250	Beijing Normal University	北京师范大学	中国内地
201-250	Charles University	布拉格查理大学	捷克
201-250	Florida State University	佛罗里达州立大学	美国
201-250	George Mason University	乔治梅森大学	美国
201-250	Goethe University Frankfurt	法兰克福大学	德国
201-250	Griffith University	格里菲斯大学	澳大利亚
201-250	Jawaharlal Nehru University	贾瓦哈拉尔尼赫鲁大学	印度
201-250	Kyung Hee University	庆熙大学	韩国
